"","x"
"3962","Ethinylestr/Drospirenone_Tab 30mcg/3mg"
"3963","Ethinylestr/Gestodene_Tab 20mcg/75mcg"
"3964","Ethinylestr/Gestodene_Tab 30mcg/75mcg"
"3965","Ethinylestr/Norelgest_24 Hr T/Derm Patch"
"3966","Ethosuximide_Cap 250mg"
"3967","Ethosuximide_Oral Soln 250mg/5ml"
"3968","Etodolac_Cap 300mg"
"3969","Etodolac_Tab 600mg M/R"
"3970","Etonogestrel_Implant 68mg"
"3971","Etopan XL_Tab 600mg"
"3972","Etoricoxib_Tab 120mg"
"3973","Etoricoxib_Tab 30mg"
"3974","Etoricoxib_Tab 60mg"
"3975","Etoricoxib_Tab 90mg"
"3976","Etrivex_Shampoo 500mcg/g"
"3977","Eucerin_ATOControl Bath & Shower Oil"
"3978","Eucerin_DermoCapillaire Calming Scalp Tt"
"3979","Eucerin_DermoCapillaire Calming Shampoo"
"3980","Eucerin_Dry Skin Relief Crm + Urea 5%"
"3981","Eucerin_Dry Skin Relief Face Crm+Urea 5%"
"3982","Eucerin_Intensive Crm 10%"
"3983","Eucerin_Intensive Lot 10%"
"3984","Eucreas_Tab 50mg/1g"
"3985","Eucreas_Tab 50mg/850mg"
"3986","Eudemine_Tab 50mg"
"3987","Eumocream_Crm 25%"
"3988","Eumovate_Crm 0.05%"
"3989","Eumovate_Eczema & Dermatitis Crm 0.05%"
"3990","Eumovate_Oint 0.05%"
"3991","Eurax_Crm 10%"
"3992","Eurax_Lot 10%"
"3993","Eurax-Hc_Crm"
"3994","Evista_Tab 60mg"
"3995","Evorel 100_Patch"
"3996","Evorel 25_Patch"
"3997","Evorel 50_Patch"
"3998","Evorel 75_Patch"
"3999","Evorel Conti_Patch"
"4000","Evorel Sequi_Patch"
"4001","Evra_Patch"
"4002","Ex-Lax Senna_Tab 15mg"
"4003","Excilon AMD IV Sponges 5cm x 5cm Tracheo Dress Ster"
"4004","Exelon_Cap 1.5mg"
"4005","Exelon_Transdermal Patch 4.6mg/24hrs"
"4006","Exelon_Transdermal Patch 9.5mg/24hrs"
"4007","Exemestane_Tab 25mg"
"4008","Exenatide_Inj 10mcg/0.04ml 2.4mlPfs(60D)"
"4009","Exenatide_Inj 2mg Vl + Dil"
"4010","Exenatide_Inj 5mcg/0.02ml 1.2ml Pfs(60D)"
"4011","Exocin_Top Ophth Soln 0.3%"
"4012","Exorex_Crm"
"4013","Exorex_Hair & Body Shampoo"
"4014","Exorex_Lot"
"4015","Exterol_Ear Dps 5%"
"4016","Eye Pad No.16 with Band BPC Ster"
"4017","Eye Shade Plas"
"4018","Ezetimibe_Tab 10mg"
"4019","Ezetrol_Tab 10mg"
"4020","EZY-As Compress Hose Applic"
"4021","EZY-As Compress Hose Applic Handle"
"4022","F/R Double Action Pain Relief_Tab 12.5mg"
"4023","Famciclovir_Tab 125mg"
"4024","Famciclovir_Tab 250mg"
"4025","Famciclovir_Tab 500mg"
"4026","Famotidine_Tab 20mg"
"4027","Famotidine_Tab 40mg"
"4028","Famvir_Tab 125mg"
"4029","Famvir_Tab 250mg"
"4030","Farnhurst Size 1-5 Constrictor Ring"
"4031","FastClix Lancets 0.3mm/30 Gauge"
"4032","Fate_L/P All-Purp Mix"
"4033","Fate_L/P Cake Mix"
"4034","Fate_L/P Choc Flav Cake Mix"
"4035","Faverin 50_Tab 50mg"
"4036","Febuxostat_Tab 120mg"
"4037","Febuxostat_Tab 80mg"
"4038","Felbinac_Foam Aero 3.17% 100g"
"4039","Felbinac_Gel 3%"
"4040","Feldene_Cap 10mg"
"4041","Feldene_Gel 0.5%"
"4042","Feldene_Tab Melt 20mg"
"4043","Felodipine_Tab 10mg M/R"
"4044","Felodipine_Tab 2.5mg M/R"
"4045","Felodipine_Tab 5mg M/R"
"4046","Felodipine/Ramipril_Tab 2.5mg/2.5mg M/R"
"4047","Felodipine/Ramipril_Tab 5mg/5mg M/R"
"4048","Femara_Tab 2.5mg"
"4049","Femodene ED_Tab"
"4050","Femodene_Tab"
"4051","Femodette_Tab"
"4052","Femoston 1/10mg_Tab"
"4053","Femoston 2/10mg_Tab"
"4054","Femoston-conti_Tab 0.5mg/2.5mg"
"4055","Femoston-conti_Tab 1mg/5mg"
"4056","FemSeven 100_Patch 100mcg/24hrs"
"4057","FemSeven 50_Patch 50mcg/24hrs"
"4058","FemSeven 75_Patch 75mcg/24hrs"
"4059","FemSeven Conti_Patch"
"4060","FemSeven Sequi_Patch"
"4061","Fenbid Fte_Gel 10%"
"4062","Fenbid_Gel 5%"
"4063","Fencino_Transdermal Patch 12mcg/hr"
"4064","Fencino_Transdermal Patch 25mcg/hr"
"4065","Fencino_Transdermal Patch 50mcg/hr"
"4066","Fencino_Transdermal Patch 75mcg/hr"
"4067","Fendrix_Vac 40mcg/ml 0.5ml Pfs"
"4068","Fenofibrate_Cap 200mg (Micronised)"
"4069","Fenofibrate_Cap 267mg (Micronised)"
"4070","Fenofibrate_Cap 67mg (Micronised)"
"4071","Fenofibrate_Tab 160mg (Micronised)"
"4072","Fentalis Reservoir_T/Derm Patch 25mcg/hr"
"4073","Fentalis Reservoir_T/Derm Patch 50mcg/hr"
"4074","Fentalis Reservoir_T/Derm Patch 75mcg/hr"
"4075","Fentalis Reservoir_T/Derm Patch100mcg/hr"
"4076","Fentanyl_Loz 1.2mg"
"4077","Fentanyl_Loz 1.6mg"
"4078","Fentanyl_Loz 200mcg"
"4079","Fentanyl_Loz 400mcg"
"4080","Fentanyl_Loz 600mcg"
"4081","Fentanyl_Loz 800mcg"
"4082","Fentanyl_Nsl Spy 100mcg (8D)"
"4083","Fentanyl_Tab Buccal 100mcg S/F"
"4084","Fentanyl_Tab Buccal 200mcg S/F"
"4085","Fentanyl_Tab Buccal 400mcg S/F"
"4086","Fentanyl_Tab Sublingual 100mcg S/F"
"4087","Fentanyl_Tab Sublingual 200mcg S/F"
"4088","Fentanyl_Tab Sublingual 300mcg S/F"
"4089","Fentanyl_Tab Sublingual 400mcg S/F"
"4090","Fentanyl_Transdermal Patch 100mcg/hr"
"4091","Fentanyl_Transdermal Patch 12mcg/hr"
"4092","Fentanyl_Transdermal Patch 25mcg/hr"
"4093","Fentanyl_Transdermal Patch 37.5mcg/hr"
"4094","Fentanyl_Transdermal Patch 50mcg/hr"
"4095","Fentanyl_Transdermal Patch 75mcg/hr"
"4096","Fenticonazole Nit_Vag Cap 200mg"
"4097","Fenticonazole Nit_Vag Crm 2%"
"4098","Ferr Fumar_Cap 305mg"
"4099","Ferr Fumar_Oral Soln 140mg/5ml"
"4100","Ferr Fumar_Oral Soln 140mg/5ml S/F"
"4101","Ferr Fumar_Tab 210mg"
"4102","Ferr Fumar_Tab 322mg"
"4103","Ferr Fumar/Folic Acid_Cap 305mg/350mcg"
"4104","Ferr Fumar/Folic Acid_Tab 322mg/350mcg"
"4105","Ferr Glucon_Tab 300mg"
"4106","Ferr Sulf_Oral Dps 125mg/ml S/F"
"4107","Ferr Sulf_Tab 200mg"
"4108","Ferr Sulf, Dried_Cap 150mg M/R"
"4109","Ferr Sulf, Dried_Tab 325mg M/R"
"4110","Ferr Sulf/Folic Acid_Tab 325/350mcg M/R"
"4111","Ferrograd_Filmtab"
"4112","Ferrograd-Folic_Tab"
"4113","Fersaday_Tab 322mg"
"4114","Fesoterodine Fumar_Tab 4mg M/R"
"4115","Fesoterodine Fumar_Tab 8mg M/R"
"4116","Fexofenadine HCl_Tab 120mg"
"4117","Fexofenadine HCl_Tab 180mg"
"4118","Fexofenadine HCl_Tab 30mg"
"4119","Fibrazate XL_Tab 400mg M/R"
"4120","Fibrelief Orange_Gran Sach 3.5g G/F"
"4121","Fidaxomicin_Tab 200mg"
"4122","Fifty:50 Oint"
"4123","Filmated Gz Swabs 10cm x 10cm BP 1988"
"4124","Finacea_Gel 15%"
"4125","Finasteride_Tab 5mg"
"4126","Finax_G/F Fibre Bread Mix"
"4127","Finger Cots"
"4128","Finite P Indigo AF Nitrile Gloves Sml/Med/Lge Prote"
"4129","Firmagon_Inj 120mg Vl + Dil"
"4130","Firmagon_Inj 80mg Vl + Dil"
"4131","Flagyl_Tab 200mg"
"4132","Flagyl-400_Tab 400mg"
"4133","Flamazine_Crm 1%"
"4134","Flaminal Forte 15g Tube Wound Dress Protease Matrix"
"4135","Flaminal Forte 50g Tube Wound Dress Protease Matrix"
"4136","Flaminal Hydro 15g Tube Wound Dress Protease Matrix"
"4137","Flaminal Hydro 50g Tube Wound Dress Protease Matrix"
"4138","FlavourPac_Pdr Sach Blkcurrant 4g"
"4139","FlavourPac_Pdr Sach Orange 4g"
"4140","FlavourPac_Pdr Sach Rasp 4g"
"4141","Flavoxate HCl_Tab 200mg"
"4142","Flecainide Acet_Cap 200mg M/R"
"4143","Flecainide Acet_Liq Spec 10mg/5ml"
"4144","Flecainide Acet_Oral Soln 25mg/5ml"
"4145","Flecainide Acet_Oral Susp 25mg/5ml"
"4146","Flecainide Acet_Tab 100mg"
"4147","Flecainide Acet_Tab 50mg"
"4148","Fleet_Enem Phos 133ml"
"4149","Fleet_Phospho-soda Oral Soln S/F"
"4150","Fletchers'_Enem Phos(Long Tube)128ml Btl"
"4151","Flexi-Ban 10cm x 3.5m Sub-Compress Wadding Band"
"4152","Flexicare FlexiCath All Slc Foy Male 12-26 10ml Cath"
"4153","Flexicare_Discreet Leg Bag Ster Long Tube 500ml"
"4154","Flexicare_Discreet Leg Bag Ster Short Tube 350ml"
"4155","Flexicare_Discreet Leg Bag Ster Short Tube 500ml"
"4156","Flexicare_E-Z Flow Cath Valve"
"4157","Flexicare_F2 Drain Bag 2L"
"4158","Flexicare_F2 EZ Drain Bag 2L"
"4159","Flexicare_F2 EZB Drain Bag 2L"
"4160","Flexicare_F4 Drain Bag 2L"
"4161","Flexicare_F4L Drain Bag 2L"
"4162","Flexicare_Leg Bag + Lever Tap Short Tube 500ml"
"4163","Flexicare_Leg Bag Ster Long Tube 500ml"
"4164","Flexicare_Leg Bag Ster Short Tube 500ml"
"4165","Flexicare_Leg Bag Straps + Velcro Fastening"
"4166","Flexitol 10% Urea Crm 150g"
"4167","Flexitol 10% Urea Crm 500g"
"4168","Flexitol Urea Hand Balm"
"4169","Flexitol Urea Heel Balm"
"4170","Flexitol Urea Skin Balm"
"4171","Flivasorb 10cm x 10cm Wound Dress Protease Matrix"
"4172","Flivasorb 10cm x 20cm Wound Dress Protease Matrix"
"4173","Flivasorb 20cm x 20cm Wound Dress Protease Matrix"
"4174","Flivasorb 20cm x 30cm Wound Dress Protease Matrix"
"4175","Flivasorb Adh 12cm x 12cm Wound Dress Protease Matrix"
"4176","Flivasorb Adh 15cm x 15cm Wound Dress Protease Matrix"
"4177","Flivasorb Adh 15cm x 25cm Wound Dress Protease Matrix"
"4178","Flixonase_Aq Nasule Dps 400mcg Ud"
"4179","Flixonase_Aq Nsl Spy 50mcg (150 D)"
"4180","Flixotide_Accuhaler 100mcg (60 D)"
"4181","Flixotide_Accuhaler 250mcg (60 D)"
"4182","Flixotide_Accuhaler 500mcg (60 D)"
"4183","Flixotide_Accuhaler 50mcg (60 D)"
"4184","Flixotide_Evohaler 125mcg (120 D)"
"4185","Flixotide_Evohaler 250mcg (120 D)"
"4186","Flixotide_Evohaler 50mcg (120 D)"
"4187","Flixotide_Nebules 2mg/2ml Ud"
"4188","Flixotide_Nebules 500mcg/2ml Ud"
"4189","Flomaxtra XL_Tab 400mcg P/R"
"4190","Florinef_Tab 100mcg"
"4191","Fluanxol_Tab 1mg"
"4192","Fluanxol_Tab 500mcg"
"4193","Fluarix Tetra_Vac 0.5ml Pfs"
"4194","Fluclox Sod_Cap 250mg"
"4195","Fluclox Sod_Cap 500mg"
"4196","Fluclox Sod_Inj 1g Vl"
"4197","Fluclox Sod_Inj 500mg Vl"
"4198","Fluclox Sod_Oral Soln 125mg/5ml"
"4199","Fluclox Sod_Oral Soln 125mg/5ml S/F"
"4200","Fluclox Sod_Oral Soln 250mg/5ml"
"4201","Fluclox Sod_Oral Soln 250mg/5ml S/F"
"4202","Fluconazole_Cap 150mg"
"4203","Fluconazole_Cap 200mg"
"4204","Fluconazole_Cap 50mg"
"4205","Fluconazole_Oral Susp 200mg/5ml"
"4206","Fluconazole_Oral Susp 50mg/5ml"
"4207","Fluconazole/Clotrimazole_Cap 150mg/Crm2%"
"4208","Fludrocort Acet_Liq Spec 125mcg/5ml"
"4209","Fludrocort Acet_Oral Susp 50mcg/5ml"
"4210","Fludrocort Acet_Tab 100mcg"
"4211","Fludroxycortide_Crm 0.0125%"
"4212","Fludroxycortide_Oint 0.0125%"
"4213","Fludroxycortide_Tape 7.5cm x 200cm"
"4214","Fludroxycortide_Tape 7.5cm x 50cm"
"4215","Fluenz_Tetra Vac Nsl Susp 0.2ml Ud"
"4216","Flumetasone/Clioquinol_Ear Dps 0.02%/1%"
"4217","Flunarizine HCl_Cap 5mg"
"4218","Flunarizine HCl_Tab 10mg"
"4219","Fluocinolone Aceton_Crm 0.0025%"
"4220","Fluocinolone Aceton_Crm 0.00625%"
"4221","Fluocinolone Aceton_Crm 0.025%"
"4222","Fluocinolone Aceton_Gel 0.025%"
"4223","Fluocinolone Aceton_Oint 0.00625%"
"4224","Fluocinolone Aceton_Oint 0.025%"
"4225","Fluocinolone/Clioquinol_Crm 0.025%/3%"
"4226","Fluocinolone/Clioquinol_Oint 0.025%/3%"
"4227","Fluocinolone/Neomycin_Crm 0.025%/0.5%"
"4228","Fluocinolone/Neomycin_Oint 0.025%/0.5%"
"4229","Fluocinonide_Crm 0.05%"
"4230","Fluocinonide_Oint 0.05%"
"4231","Fluoresc Sod_Eye Dps 1% Ud"
"4232","Fluoresc Sod_Eye Dps 2% Ud"
"4233","Fluorigard Daily_Dental Rinse 0.05%"
"4234","Fluorigard Daily_Dental Rinse 0.05% A/F"
"4235","Fluorome_Eye Dps 0.1%"
"4236","Fluorouracil_Crm 5%"
"4237","Fluorouracil/Salic Acid_Cutaneous Soln"
"4238","Fluoxetine HCl_Cap 20mg"
"4239","Fluoxetine HCl_Cap 60mg"
"4240","Fluoxetine HCl_Oral Soln 20mg/5ml"
"4241","Fluoxetine HCl_Oral Soln 20mg/5ml S/F"
"4242","Fluoxetine HCl_Tab 10mg"
"4243","Fluoxetine HCl_Tab Disper 20mg S/F"
"4244","Flupentixol Decan_Inj 100mg/ml 0.5ml Am"
"4245","Flupentixol Decan_Inj 100mg/ml 1ml Amp"
"4246","Flupentixol Decan_Inj 200mg/ml 1ml Amp"
"4247","Flupentixol Decan_Inj 20mg/ml 1ml Amp"
"4248","Flupentixol Decan_Inj 20mg/ml 2ml Amp"
"4249","Flupentixol HCl_Tab 1mg"
"4250","Flupentixol HCl_Tab 3mg"
"4251","Flupentixol HCl_Tab 500mcg"
"4252","Fluphenazine Decan_Inj 100mg/ml 0.5ml Am"
"4253","Fluphenazine Decan_Inj 100mg/ml 1ml Amp"
"4254","Fluphenazine Decan_Inj 25mg/ml 1ml Amp"
"4255","Flurbiprofen_Loz 8.75mg"
"4256","Flurbiprofen_Tab 100mg"
"4257","Flurbiprofen_Tab 50mg"
"4258","Flutamide_Tab 250mg"
"4259","Fluticasone Fur_Nsl Spy 27.5mcg (120D)"
"4260","Fluticasone Prop_Crm 0.05%"
"4261","Fluticasone Prop_Inh Soln 2mg/2ml Ud"
"4262","Fluticasone Prop_Inh Soln 500mcg/2ml Ud"
"4263","Fluticasone Prop_Inha 125mcg (120 D) CFF"
"4264","Fluticasone Prop_Inha 250mcg (120 D) CFF"
"4265","Fluticasone Prop_Inha 50mcg (120 D) CFF"
"4266","Fluticasone Prop_Nsl Spy 50mcg (150 D)"
"4267","Fluticasone Prop_Nsl Spy 50mcg (60 D)"
"4268","Fluticasone Prop_Oint 0.005%"
"4269","Fluticasone Prop_Pdr For Inh 100mcg(60D)"
"4270","Fluticasone Prop_Pdr For Inh 250mcg(60D)"
"4271","Fluticasone Prop_Pdr For Inh 500mcg(60D)"
"4272","Fluticasone Prop_Pdr For Inh 50mcg (60D)"
"4273","Fluticasone Prop_Susp Nsl Dps 400mcg Ud"
"4274","Fluticasone/Azelastine_Nsl Spy 50/137mcg"
"4275","Fluticasone/Formoterol_Inh 125/5mcg 120D"
"4276","Fluticasone/Formoterol_Inh 250/10mcg120D"
"4277","Fluticasone/Formoterol_Inh 50/5mcg 120 D"
"4278","Fluticasone/Salmeterol_Inh 100/50mcg 60D"
"4279","Fluticasone/Salmeterol_Inh 125/25mcg120D"
"4280","Fluticasone/Salmeterol_Inh 250/25mcg120D"
"4281","Fluticasone/Salmeterol_Inh 250/50mcg 60D"
"4282","Fluticasone/Salmeterol_Inh 50/25mcg 120D"
"4283","Fluticasone/Salmeterol_Inh 500/50mcg 60D"
"4284","Flutiform_Inha 125/5mcg (120 D)"
"4285","Flutiform_Inha 250/10mcg (120 D)"
"4286","Flutiform_Inha 50/5mcg (120 D)"
"4287","Flutter Oscillating Positive Expiratory Pressure Dev"
"4288","Fluvastatin Sod_Cap 20mg"
"4289","Fluvastatin Sod_Cap 40mg"
"4290","Fluvastatin Sod_Tab 80mg M/R"
"4291","Fluvirin_Vac 0.5ml Pfs"
"4292","Fluvoxamine Mal_Tab 100mg"
"4293","Fluvoxamine Mal_Tab 50mg"
"4294","Fml_Ophth Susp 0.1%"
"4295","Folic Acid_Oral Soln 2.5mg/5ml S/F"
"4296","Folic Acid_Oral Soln 5mg/5ml"
"4297","Folic Acid_Tab 400mcg"
"4298","Folic Acid_Tab 5mg"
"4299","Folpik XL_Tab 2.5mg M/R"
"4300","Fondaparinux Sod_Inj 12.5mg/ml 0.8ml Pfs"
"4301","Foodlink_Complete Food Drink (4 Flav)"
"4302","Foradil_Inh Cap 12mcg + Inha"
"4303","Forceval Jnr_Tab Solb"
"4304","Forceval_Cap"
"4305","Forceval_Tab Solb"
"4306","Formaldehyde_Soln Gel 0.75%"
"4307","Formoterol Easyhaler_12mcg (120 D)"
"4308","Formoterol Fumar_Inh 12mcg (100D) CFF"
"4309","Formoterol Fumar_Pdr For Inh 12mcg(120D)"
"4310","Formoterol Fumar_Pdr For Inh 12mcg(60 D)"
"4311","Formoterol Fumar_Pdr For Inh 6mcg (60 D)"
"4312","Formoterol Fumar_Pdr Inh Cap 12mcg +Dev"
"4313","Forticreme Complete_Dessert (Banana)"
"4314","Forticreme Complete_Dessert (Choc)"
"4315","Forticreme Complete_Dessert (F/Fruits)"
"4316","Forticreme Complete_Dessert (Vanilla)"
"4317","Fortijuce_Liq (7 Flav)"
"4318","Fortijuce_S/Pack Liq"
"4319","Fortimel Regular_Liq (4 Flav)"
"4320","Fortini_1.0 Multi Fibre Liq (4 Flav)"
"4321","Fortini_Creamy Fruit Multi Fibre (2Flav)"
"4322","Fortini_Liq (2 Flav)"
"4323","Fortini_Multi Fibre Liq (4 Flav)"
"4324","Fortini_Multi Fibre Liq (Unflav)"
"4325","Fortini_Smoothie Multi Fibre Liq(2 Flav)"
"4326","Fortipine LA40_Tab 40mg"
"4327","Fortisip Bottle_Liq (8 Flav)"
"4328","Fortisip Compact Fibre_Liq (3 Flav)"
"4329","Fortisip Compact Fibre_Liq S/Pack"
"4330","Fortisip Compact Protein_Liq (4 Flav)"
"4331","Fortisip Compact Protein_S/Pack Liq"
"4332","Fortisip Compact_Liq (7 Flav)"
"4333","Fortisip Compact_S/Pack Liq"
"4334","Fortisip Extra_Liq (5 Flav)"
"4335","Fortisip Extra_S/Pack"
"4336","Fortisip Range_S/Pack"
"4337","Fortisip_M/Fibre Liq"
"4338","Fortisip_Savoury M/Fibre Liq (Chicken)"
"4339","Fortisip_Yogurt Style Liq (3 Flav)"
"4340","Fortuna Fast 17.5cmx1m (Beige) Stkntte Elasctd Viscose Tublr"
"4341","Forxiga_Tab 10mg"
"4342","Forxiga_Tab 5mg"
"4343","Fosamax_Once Weekly Tab 70mg"
"4344","Fosamax_Tab 10mg"
"4345","Fosavance_Tab"
"4346","Fosfomycin Trometamol_Sach 3g"
"4347","Fosinopril Sod_Tab 10mg"
"4348","Fosinopril Sod_Tab 20mg"
"4349","Fosrenol_Pdr Sach 750mg"
"4350","Fosrenol_Tab Chble 500mg"
"4351","Fosrenol_Tab Chble 750mg"
"4352","Fostair NEXThaler_Inh 100mcg/6mcg (120D)"
"4353","Fostair_Inh 100mcg/6mcg (120D) CFF"
"4354","Fragmin_Inj 12,500u/ml 0.2ml Pfs"
"4355","Fragmin_Inj 25,000u/ml 0.6ml Pfs"
"4356","Fragmin_Inj 25,000u/ml 0.72ml Pfs"
"4357","Freederm_Gel 4%"
"4358","FreeStyle (Reagent)_Strips"
"4359","FreeStyle Lancets 0.5mm/28 Gauge"
"4360","FreeStyle Lite (Reagent)_Strips"
"4361","FreeStyle Optium (Reagent)_Strips"
"4362","FreeStyle Optium B-Ketone Reagent_Strips"
"4363","Fresenius Sod Chlor Top Irrig 0.9% 1L"
"4364","Fresenius Ster Water Top Irrig 1L"
"4365","Fresubin 2kcal Fibre_Drink (6 Flav)"
"4366","Fresubin 2kcal_Drink (6 Flav)"
"4367","Fresubin 5kcal Shot_Drink (Lemon)"
"4368","Fresubin 5kcal Shot_Drink (Neutral)"
"4369","Fresubin Creme_Dessert (Cappuccino)"
"4370","Fresubin Creme_Dessert (Wild Strawberry)"
"4371","Fresubin Energy_Liq (9 Flav)"
"4372","Fresubin Jucy_Drink (5 Flav)"
"4373","Fresubin Thickened Stage 1_Syr (2 Flav)"
"4374","Fresubin Thickened Stage 2_Cust (2 Flav)"
"4375","Frisium_Tab 10mg"
"4376","Froben_Tab 100mg"
"4377","Frovatriptan_Tab 2.5mg"
"4378","FruitiVits_Pdr Sach 6g"
"4379","Frumil L.S._Tab 20mg/2.5mg"
"4380","Frumil_Tab 40mg/5mg"
"4381","Frusene_Tab"
"4382","Frusol_Oral Soln 20mg/5ml S/F"
"4383","Frusol_Oral Soln 40mg/5ml S/F"
"4384","Fucibet_Crm"
"4385","Fucibet_Lipid Crm"
"4386","Fucidin H_Crm"
"4387","Fucidin_Crm 2%"
"4388","Fucidin_Oint 2%"
"4389","Fucithalmic_Viscous Eye Dps 1%"
"4390","Full Marks Soln"
"4391","Fuller's Earth_Crm"
"4392","Fultium-D3_Cap 3,200u"
"4393","Fultium-D3_Cap 800u"
"4394","Furadantin_Susp 25mg/5ml"
"4395","Furosemide_Inj 10mg/ml 2ml Amp"
"4396","Furosemide_Inj 10mg/ml 5ml Amp"
"4397","Furosemide_Oral Soln 20mg/5ml S/F"
"4398","Furosemide_Oral Soln 40mg/5ml S/F"
"4399","Furosemide_Oral Soln 50mg/5ml S/F"
"4400","Furosemide_Oral Soln 5mg/5ml"
"4401","Furosemide_Tab 20mg"
"4402","Furosemide_Tab 40mg"
"4403","Furosemide_Tab 500mg"
"4404","Furosemide/Pot_Tab 40mg/8mmol M/R"
"4405","Fusidic Acid_Crm 2%"
"4406","Fusidic Acid_Viscous Eye Dps 1%"
"4407","Fuzatal XL_Tab 10mg"
"4408","Fybogel Mebeverine_Eff Gran Sach S/F"
"4409","Fybogel_Gran Sach 3.5g Lem G/F S/F"
"4410","Fybogel_Gran Sach 3.5g Orange G/F S/F"
"4411","Fybogel_Gran Sach 3.5g Plain G/F S/F"
"4412","Fybogel_H/Fbre Gran Eff Sach3.5g Lem S/F"
"4413","Fybogel_H/Fbre Gran Eff Sach3.5g OrngS/F"
"4414","Gabapentin_Cap 100mg"
"4415","Gabapentin_Cap 300mg"
"4416","Gabapentin_Cap 400mg"
"4417","Gabapentin_Liq Spec 100mg/5ml"
"4418","Gabapentin_Liq Spec 250mg/5ml"
"4419","Gabapentin_Liq Spec 300mg/5ml"
"4420","Gabapentin_Liq Spec 400mg/5ml"
"4421","Gabapentin_Liq Spec 500mg/5ml"
"4422","Gabapentin_Oral Soln 50mg/ml S/F"
"4423","Gabapentin_Tab 600mg"
"4424","Gabapentin_Tab 800mg"
"4425","Galactomin 17_Pdr"
"4426","Galactomin 19_Pdr"
"4427","Galantamine_Cap 16mg M/R"
"4428","Galantamine_Cap 24mg M/R"
"4429","Galantamine_Cap 8mg M/R"
"4430","Galantamine_Oral Soln 20mg/5ml S/F"
"4431","Galantamine_Tab 12mg"
"4432","Galantamine_Tab 8mg"
"4433","Galantex XL_Cap 24mg"
"4434","Galantex XL_Cap 8mg"
"4435","Galcodine_Linct 15mg/5ml S/F"
"4436","Galenphol_Linct 5mg/5ml S/F"
"4437","Galenphol_Linct Paed 2mg/5ml S/F"
"4438","Galenphol_Linct Strong 10mg/5ml S/F"
"4439","Galfer_Cap 305mg"
"4440","Galfer_Syr 140mg/5ml S/F"
"4441","Galpseud Plus_Linct S/F"
"4442","Galpseud_Linct 30mg/5ml S/F"
"4443","Galpseud_Tab 60mg"
"4444","Gamolenic Acid_Cap 40mg"
"4445","Gamolenic Acid_Cap 80mg"
"4446","Ganciclovir_Eye Gel 0.15%"
"4447","Ganfort_Eye Dps 300mcg/5mg"
"4448","Ganfort_Eye Dps 300mcg/5mg 0.4ml Ud"
"4449","Gardasil_Vac 0.5ml Pfs"
"4450","Gastrocote_Liq S/F"
"4451","Gastrocote_Tab"
"4452","Gatalin XL_Cap 24mg"
"4453","Gauze Wound Dress 15cm x 17cm TNPS Accessory"
"4454","Gaviscon Advance_Liq (Aniseed) (Reckitt)"
"4455","Gaviscon Advance_Liq (Peppermint) S/F"
"4456","Gaviscon Advance_Tab Chble Mint(Reckitt)"
"4457","Gaviscon Cool_Liq (Peppermint) S/F"
"4458","Gaviscon Cool_Tab Chble 250mg (P/Mint)"
"4459","Gaviscon Double Action_Liq (Aniseed)"
"4460","Gaviscon Double Action_Liq (Peppermint)"
"4461","Gaviscon Double Action_Tab Chble"
"4462","Gaviscon Infant_Sach 2g (Dual Pack) S/F"
"4463","Gaviscon P/Mint_Tab Chble"
"4464","Gaviscon Sbery_Tab Chble"
"4465","Gaviscon_Liq Orig Aniseed Relief"
"4466","Gaviscon_Liq Relief Peppermint"
"4467","Gaviscon_Liq Sach 10ml (Peppermint) S/F"
"4468","Gaviscon_Tab Chble 500mg (Peppermint)"
"4469","Gedarel_Tab 20/150mcg"
"4470","Gedarel_Tab 30/150mcg"
"4471","Gelclair Sach 15ml"
"4472","GeloSitin Nsl Spy 15ml"
"4473","GelTears_Ophth Gel 0.2%"
"4474","Gemfibrozil_Cap 300mg"
"4475","Gemfibrozil_Tab 600mg"
"4476","Genesis Accord Vacuum Pump Manual"
"4477","Gengigel Gel 20ml"
"4478","Gengigel Mouthrinse"
"4479","Genius_G/F Bloomer"
"4480","Genius_G/F Bread Brown (Cut)"
"4481","Genius_G/F Bread Brown Sandwich (Cut)"
"4482","Genius_G/F Bread Wte (Cut)"
"4483","Genius_G/F Bread Wte Sandwich (Cut)"
"4484","Genius_G/F W/F Brown Bread"
"4485","Genius_G/F W/F Wte Bread"
"4486","Genotropin GoQuick_Inj 5.3mg Pfs Cart"
"4487","Genotropin MiniQuick_Inj 200mcg Pfs Cart"
"4488","Genotropin MiniQuick_Inj 400mcg Pfs Cart"
"4489","Genotropin MiniQuick_Inj 600mcg Pfs Cart"
"4490","Genotropin MiniQuick_Inj 800mcg Pfs Cart"
"4491","Genotropin_Inj 12mg Cart + Dil"
"4492","Genotropin_Inj 5.3mg Cart"
"4493","Gentamicin Sulf_Ear/Eye Dps 0.3%"
"4494","Gentamicin Sulf_Inj 40mg/ml 2ml Amp"
"4495","Gentamicin Sulf_Inj 40mg/ml 2ml Vl"
"4496","Gentamicin/Hydrocort Acet_Ear Dps 0.3/1%"
"4497","Genticin_Eye/Ear Dps 0.3%"
"4498","Genticin_Inj Soln 40mg/ml 2ml Amp"
"4499","Gentisone HC_Ear Dps"
"4500","Germoloids HC_P/Spy 30ml"
"4501","Germoloids_Crm"
